"Date","Price","Open","High","Low","Vol.","Change %"
"10/26/2025","97,614.1","95,986.4","97,849.9","95,700.0","0.22K","1.71%"
"10/25/2025","95,972.3","95,465.6","96,200.0","95,231.2","0.19K","0.53%"
"10/24/2025","95,465.5","94,736.9","96,200.0","94,361.9","0.29K","0.77%"
"10/23/2025","94,736.9","92,700.1","95,821.1","92,650.0","0.36K","2.20%"
"10/22/2025","92,700.9","93,400.2","94,000.0","91,934.1","0.45K","-0.77%"
"10/21/2025","93,421.9","95,000.1","98,097.9","92,468.8","0.57K","-1.66%"
"10/20/2025","95,000.1","93,262.4","95,809.0","92,222.3","0.45K","1.83%"
"10/19/2025","93,291.2","92,099.0","94,128.0","91,200.1","0.26K","1.29%"
"10/18/2025","92,099.0","91,459.2","92,379.2","91,406.3","0.16K","0.70%"
"10/17/2025","91,459.2","92,520.4","93,339.0","88,620.1","0.92K","-1.16%"
"10/16/2025","92,534.5","95,163.9","96,117.0","92,068.6","0.69K","-2.76%"
"10/15/2025","95,164.6","97,559.3","97,815.2","94,815.0","0.67K","-2.47%"
"10/14/2025","97,570.8","99,722.8","99,955.0","95,123.4","0.58K","-2.13%"
"10/13/2025","99,691.8","99,303.2","100,300.0","98,426.0","0.39K","0.43%"
"10/12/2025","99,268.4","96,650.1","100,235.4","95,600.0","0.65K","2.72%"
"10/11/2025","96,640.5","98,166.7","98,650.7","95,633.5","0.77K","-1.77%"
"10/10/2025","98,380.1","105,200.0","105,909.0","91,752.0","1.42K","-6.48%"
"10/09/2025","105,192.9","106,051.2","106,580.2","103,710.1","0.71K","-0.79%"
"10/08/2025","106,029.7","104,180.6","106,955.0","104,180.6","0.34K","1.77%"
"10/07/2025","104,184.3","106,205.4","107,200.0","103,462.7","0.49K","-1.97%"
"10/06/2025","106,275.9","105,050.0","107,410.9","104,850.0","0.83K","1.17%"
"10/05/2025","105,048.9","104,000.0","106,204.5","103,588.1","0.52K","1.02%"
"10/04/2025","103,987.5","104,012.9","104,499.3","103,154.1","0.20K","0.00%"
"10/03/2025","103,991.1","102,783.5","105,335.4","101,616.7","0.73K","1.17%"
"10/02/2025","102,783.5","101,073.0","103,166.2","100,731.8","0.65K","1.73%"
"10/01/2025","101,040.4","97,221.1","101,073.0","97,100.1","0.62K","3.96%"
"09/30/2025","97,190.7","97,502.9","97,970.6","95,931.1","0.29K","-0.34%"
